,Company,"Street, no., building etc, line 1",City,Country,"NACE Rev. 2
Core code (4 digits)","Operating
revenue
(Turnover)
m EUR
2017","Operating
revenue
(Turnover)
m EUR
2016","Operating
revenue
(Turnover)
m EUR
2015","Operating
revenue
(Turnover)
m EUR
2014","Operating
revenue
(Turnover)
m EUR
2013","Operating
revenue
(Turnover)
m EUR
2012","Operating
revenue
(Turnover)
m EUR
2011","Operating
revenue
(Turnover)
m EUR
2010","Operating
revenue
(Turnover)
m EUR
2009","Operating
revenue
(Turnover)
m EUR
2008","Number of employees
2017","Number of employees
2016","Number of employees
2015","Number of employees
2014","Number of employees
2013","Number of employees
2012","Number of employees
2011","Number of employees
2010","Number of employees
2009","Number of employees
2008"
23.,Ball Corporation,10 LONGS PEAK DR,BROOMFIELD,United States of America,2592,"6,348",n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,"17,500",n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
34.,Basell Polyolefine GmbH,BRUEHLER STR. 60,WESSELING,Germany,2051,n.a.,"3,688","3,778","4,596","4,542","4,921","4,896","4,302","2,818","4,719",n.a.,"1,993","1,983","1,868","2,220","2,370","2,398","2,508","2,575","2,585"
826.,BASF Coatings GmbH,GLASURITSTR. 1,MUENSTER,Germany,2030,n.a.,"3,249","3,166","2,984","2,927","2,961","2,800",n.a.,n.a.,n.a.,"2,900",n.a.,"2,800","2,500",n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
880.,BASF Lampertheim GmbH,CHEMIESTR. 22,LAMPERTHEIM,Germany,2110,n.a.,195,194,189,183,176,190,n.a.,n.a.,n.a.,487,487,487,500,500,478,489,n.a.,n.a.,n.a.
861.,BASF PERSONAL CARE AND NUTRITION GMBH,RHEINPROMENADE 1,MONHEIM,Germany,2000,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,"1,298","1,097","1,384",n.a.,"1,500","1,500",n.a.,n.a.,n.a.,n.a.,"2,015","2,086","2,149"
887.,BASF PIGMENT GMBH,CARL-BOSCH-STR. 38,LUDWIGSHAFEN,Germany,2012,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,32,n.a.,n.a.,n.a.,200,200,200,105,105,105,105,n.a.,n.a.,n.a.
791.,BASF Schwarzheide GmbH,SCHIPKAUER STR. 1,SCHWARZHEIDE,Germany,2016,n.a.,n.a.,"1,051","1,048","1,088","1,007","1,064",n.a.,n.a.,n.a.,"1,746","1,742","1,736","1,736","1,718","1,618","1,636",n.a.,n.a.,n.a.
5.,BASF SE,CARL-BOSCH STRASSE 38,LUDWIGSHAFEN AM RHEIN,Germany,2059,n.a.,"58,574","71,404","75,131","74,742","72,990","75,366","65,322","52,013","63,644",n.a.,"113,830","112,435","113,292","112,206","110,782","111,141","109,140","104,779","96,924"
677.,Bauer Property GmbH & Co. KG,ZUERNKAMP 23,SEEVETAL,Germany,6820,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
510.,Bauglasindustrie Gesellschaft mit beschränkter Haftung,HUETTENSTR. 33,SCHMELZ,Germany,4673,n.a.,n.a.,10,13,15,14,16,16,16,20,n.a.,n.a.,79,84,82,82,82,81,83,83
888.,Bauhaus Gesellschaft für Bau- und Hausbedarf mit beschränkter Haftung u. Co.,GUTENBERGSTR. 21,MANNHEIM,Germany,4719,n.a.,n.a.,n.a.,n.a.,n.a.,0,0,0,n.a.,n.a.,2,2,2,n.a.,2,2,2,2,n.a.,n.a.
859.,BAYER CROPSCIENCE DEUTSCHLAND GMBH,ELISABETH-SELBERT-STR. 4 A,LANGENFELD,Germany,4675,n.a.,n.a.,n.a.,n.a.,n.a.,412,393,374,n.a.,n.a.,n.a.,297,297,297,297,272,279,277,n.a.,n.a.
555.,BAYER GMBH,ESSLINGER STR. 46,PLIEZHAUSEN,Germany,4322,n.a.,n.a.,1,1,1,1,1,1,n.a.,n.a.,n.a.,n.a.,n.a.,9,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
733.,BAYERISCHE GLASWERKE GMBH,ZACHARIAS-FRANK-STR. 7,NEUSTADT,Germany,2313,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,7,7,7,7,7,7,133,217,260
2.,Bayerische Motoren Werke Aktiengesellschaft,PETUELRING 130,MUENCHEN,Germany,2910,n.a.,"94,525","92,593","80,866","76,502","77,251","69,054","60,681","50,950","53,748",n.a.,"115,842","111,905","105,743","100,057","105,876","100,306","95,453","96,230","100,041"
358.,Bayernets GmbH,POCCISTR. 7,MUENCHEN,Germany,4950,n.a.,85,84,79,80,73,61,61,65,51,n.a.,140,129,113,109,91,72,13,11,10
739.,Bayernfonds BestEnergy 1 GmbH & Co. KG,WEIHENSTEPHANER STR. 1,UNTERSCHLEISSHEIM,Germany,3511,n.a.,n.a.,n.a.,32,32,32,28,17,2,0,n.a.,55,55,51,45,15,n.a.,n.a.,n.a.,n.a.
158.,BAYERNOIL RAFFINERIEGESELLSCHAFT MBH,POSTFACH 1252,NEUSTADT,Germany,1920,n.a.,423,441,481,443,449,444,372,377,351,n.a.,793,788,792,794,793,802,820,830,850
240.,bayernugs GmbH,Poccistr. 9,Muenchen,Germany,3521,n.a.,5,5,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,1,1,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
367.,Bayernwerk Natur GmbH,CARL-VON-LINDE-STR. 38,UNTERSCHLEISSHEIM,Germany,3530,n.a.,n.a.,76,72,75,75,75,134,140,102,n.a.,n.a.,47,36,26,27,23,24,25,21
657.,Beck u. Kaltheuner GmbH & Co. KG,DIESELSTR. 3,PLETTENBERG,Germany,2320,n.a.,n.a.,n.a.,33,33,30,n.a.,33,38,41,n.a.,n.a.,109,107,95,90,88,90,91,92
425.,Befesa Zinc Freiberg GmbH,ALFRED-LANGE-STR. 10,FREIBERG,Germany,3821,n.a.,n.a.,48,51,54,53,53,51,50,49,n.a.,n.a.,77,81,84,84,86,91,84,81
571.,BEFESA ZINC GERMANY GMBH,BALCKE-DUERR-ALLEE 1,RATINGEN,Germany,7010,n.a.,n.a.,0,0,0,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,1,1,1,1,1,n.a.,n.a.,n.a.
109.,Benteler Steel/Tube GmbH,RESIDENZSTR. 1,PADERBORN,Germany,2420,n.a.,n.a.,712,24,17,17,18,n.a.,n.a.,n.a.,n.a.,n.a.,"3,751","3,300",n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
229.,berlinbiotechpark GmbH & Co. KG,Moorfuhrtweg 17,Hamburg,Germany,6820,n.a.,n.a.,15,16,14,n.a.,n.a.,16,15,14,n.a.,n.a.,1,2,2,2,n.a.,n.a.,n.a.,n.a.
848.,Bernhard Link GmbH & Co. KG,OSTSTR.,RANSBACH-BAUMBACH,Germany,2331,n.a.,11,9,9,9,9,8,n.a.,n.a.,n.a.,97,87,89,92,89,92,92,n.a.,n.a.,n.a.
136.,BERZELIUS Stolberg GmbH,BINSFELDHAMMER 14,STOLBERG,Germany,2000,n.a.,n.a.,523,432,463,527,593,444,319,333,n.a.,n.a.,250,237,221,208,201,192,181,183
792.,BGH Edelstahl Freital GmbH,AM STAHLWERK 1,FREITAL,Germany,2410,n.a.,n.a.,216,220,200,n.a.,n.a.,n.a.,n.a.,n.a.,710,750,750,670,690,680,680,n.a.,n.a.,n.a.
835.,BGH Edelstahl Siegen GmbH,INDUSTRIESTR. 9,SIEGEN,Germany,2891,n.a.,n.a.,n.a.,249,224,255,266,n.a.,n.a.,n.a.,480,480,473,473,466,462,465,n.a.,n.a.,n.a.
366.,BHT Bau- und Holztechnik Thüringen GmbH,AM BAHNHOF 131,SAALBURG-EBERSDORF,Germany,1621,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,63,59,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,112,n.a.,n.a.
113.,Bitburger Braugruppe GmbH,ROEMERMAUER 3,BITBURG,Germany,1105,n.a.,n.a.,690,687,769,774,720,776,"1,030",n.a.,n.a.,n.a.,"1,630","1,600","1,700","1,200","1,200","1,200","2,000",n.a.
602.,BLACK FOREST VENTURES LLC,8301 NEW TRAILS DR,SPRING,United States of America,6831,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
772.,Blue Cube Germany Assets GmbH & Co.KG,BUETZFLETHER SAND 2,STADE,Germany,2059,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,6,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
704.,Blue Sky Airservice GmbH,AUGUSTAPLATZ 8,BADEN-BADEN,Germany,7712,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
814.,Bochumer Verein Verkehrstechnik GmbH,ALLEESTR. 70,BOCHUM,Germany,3020,n.a.,n.a.,204,225,0,149,175,n.a.,n.a.,n.a.,783,783,783,819,n.a.,n.a.,608,n.a.,n.a.,n.a.
539.,Bockhorner Klinkerziegelei Uhlhorn GmbH & Co.KG,HAUPTSTR. 34,BOCKHORN,Germany,2332,n.a.,n.a.,3,3,4,3,4,3,n.a.,n.a.,n.a.,n.a.,20,20,18,18,21,n.a.,n.a.,n.a.
876.,Boehringer Ingelheim Pharma GmbH & Co. KG,BINGER STR. 173,INGELHEIM,Germany,2110,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,"12,721",n.a.,n.a.,n.a.,126,90,90,90,90,n.a.,"41,534",n.a.
37.,Bombardier Transportation GmbH,EICHHORNSTR. 3,BERLIN,Germany,3020,n.a.,n.a.,"2,905",n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,"7,821",n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
335.,Borealis Agrolinz Melamine Deutschland GmbH,MOELLENSDORFER STR. 13,LUTHERSTADT WITTENBERG,Germany,2015,n.a.,n.a.,96,98,121,101,120,110,70,97,n.a.,n.a.,84,87,87,88,84,92,88,88
569.,Borealis Polymere GmbH,HAIMINGER STR. 1,BURGHAUSEN,Germany,7010,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
897.,BOSCH ENERGY AND BUILDING SOLUTIONS GMBH,MITTLERER PFAD 4,STUTTGART,Germany,6499,n.a.,17,15,13,11,0,n.a.,n.a.,n.a.,n.a.,250,250,250,250,99,29,n.a.,n.a.,n.a.,n.a.
7.,BP Europa SE,UEBERSEEALLEE 1,HAMBURG,Germany,1920,n.a.,"32,921","38,699","48,969","52,019","55,976","52,912","40,847",n.a.,n.a.,n.a.,"1,316","1,467","1,441","1,525","1,599","1,556","1,416",n.a.,n.a.
749.,BPK Biopower Klosterfelde GmbH,,,Germany,7112,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,2,12,12,12,12,12,n.a.
201.,Braas GmbH,FRANKFURTER LANDSTR. 2 -4,OBERURSEL,Germany,4673,n.a.,n.a.,288,285,272,291,313,286,239,246,n.a.,n.a.,"1,060","1,069","1,116","1,208","1,197","1,168","1,210","1,335"
119.,Braskem Europe GmbH,AN DER WELLE 3,FRANKFURT,Germany,2000,n.a.,n.a.,623,688,599,623,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,186,170,152,126,n.a.,n.a.,n.a.,n.a.
756.,Brauerei Beck GmbH & Co. KG,AM DEICH 18 /19,BREMEN,Germany,1105,n.a.,n.a.,n.a.,138,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,660,668,679,660,732,"1,180","1,212",n.a.,n.a.,n.a.
847.,Brauerei Diebels GmbH & Co. KG,BRAUEREI-DIEBELS-STR. 1,ISSUM,Germany,1105,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,207,207,207,207,257,257,257,n.a.,n.a.
104.,Braunschweiger Versorgungs-AG & Co.KG,TAUBENSTR. 7,BRAUNSCHWEIG,Germany,3510,n.a.,n.a.,762,848,905,819,791,709,638,642,n.a.,n.a.,655,635,631,630,633,629,615,600
268.,BRE.M.A Warmwalz GmbH & Co. KG,CARL-BENZ-STR. 30,BREMEN,Germany,2410,n.a.,n.a.,160,153,147,138,148,146,109,129,n.a.,n.a.,268,264,258,260,256,254,268,274
387.,Bremerhavener Entsorgungsgesellschaft mbH,ZUR HEXENBRUECKE 16,BREMERHAVEN,Germany,3810,n.a.,n.a.,65,64,59,63,63,63,64,63,n.a.,n.a.,124,128,131,121,121,117,115,117
408.,BTB BHKW- Träger- und Betreiber GmbH Berlin,GAUSSSTR. 11,BERLIN,Germany,3530,n.a.,n.a.,56,52,62,56,56,53,51,56,n.a.,n.a.,94,93,93,91,94,98,100,111
308.,Buchmann GmbH,WASGAUSTR. 5,ANNWEILER,Germany,1712,n.a.,n.a.,117,113,114,110,123,130,97,n.a.,n.a.,n.a.,304,302,303,304,301,295,312,311
165.,Buderus Edelstahl GmbH,BUDERUSSTR. 25,WETZLAR,Germany,2410,n.a.,n.a.,371,418,430,n.a.,94,85,43,122,n.a.,n.a.,"1,403","1,406","1,457",n.a.,248,211,205,279
836.,Buderus Guss GmbH,BUDERUSSTR. 26,BREIDENBACH,Germany,2932,n.a.,n.a.,200,203,200,200,180,n.a.,n.a.,n.a.,750,750,750,750,690,690,630,n.a.,n.a.,n.a.
890.,Burda Druck GmbH,HAUPTSTR. 130,OFFENBURG,Germany,1811,n.a.,n.a.,n.a.,n.a.,204,224,189,128,123,n.a.,n.a.,"1,200",n.a.,n.a.,n.a.,"7,437",n.a.,n.a.,n.a.,n.a.
925.,Burda Druck Nürnberg GmbH & Co.KG,MAINSTR. 20,NUERNBERG,Germany,1810,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,2,2,n.a.,220,220,220,220,n.a.,n.a.,n.a.
525.,Butzbacher Schleifmittel-Werke GmbH,ALTE WETZLARER STR. 4 -8,BUTZBACH,Germany,2391,n.a.,n.a.,6,6,6,7,8,5,5,n.a.,n.a.,n.a.,65,65,66,66,64,64,n.a.,n.a.
829.,C.& A. Veltins GmbH & Co.KG,AN DER STREUE,MESCHEDE,Germany,1105,n.a.,315,309,308,288,289,280,n.a.,n.a.,n.a.,635,627,616,616,600,590,560,n.a.,n.a.,n.a.
825.,Calcis Lienen GmbH & Co. KG,ZUM VOGELSBERG 12,HALTERN AM SEE,Germany,2352,n.a.,n.a.,15,14,14,15,15,n.a.,n.a.,n.a.,45,45,45,46,43,43,41,n.a.,n.a.,n.a.
830.,Calcis Warstein GmbH & Co. KG,RANGETRIFTWEG 108,WARSTEIN,Germany,2352,n.a.,11,12,12,12,12,11,n.a.,n.a.,n.a.,19,19,16,16,16,14,14,n.a.,n.a.,n.a.
423.,Carbosulf Chemische Werke GmbH,GEESTEMUENDER STR. 26,KOELN,Germany,2013,n.a.,n.a.,49,49,64,62,59,51,42,54,n.a.,n.a.,32,32,32,33,33,32,32,34
93.,Cargill Deutschland GmbH,CERESTARSTR. 2,KREFELD,Germany,1062,n.a.,878,840,933,990,954,836,28,808,867,n.a.,830,832,826,824,835,827,830,841,821
63.,CARGILL GmbH,RUEDEKENSTR. 51,SALZGITTER,Germany,1041,n.a.,"1,615","1,655","1,743","2,076","1,938","1,717","1,400","1,516","1,584",n.a.,823,827,777,733,731,535,509,492,399
912.,Carl Macher GmbH & Co. KG,FABRIKSTR. 14,KOEDITZ,Germany,1712,n.a.,45,45,40,40,40,41,n.a.,n.a.,n.a.,120,120,n.a.,116,111,111,111,n.a.,n.a.,n.a.
27.,Carl Zeiss AG,CARL-ZEISS STRASSE 2-60,OBERKOCHEN,Germany,2670,n.a.,"4,890","4,526","4,295","4,202","4,197","4,252","3,104","2,216","2,853",n.a.,"25,433","25,059","24,776","24,691","24,138","23,814","13,068","13,325","13,041"
625.,Carlsberg Supply Company Deutschland  GmbH,HOLSTENSTR. 224,HAMBURG,Germany,1105,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
163.,Caterpillar Energy Solutions GmbH,CARL-BENZ-STR. 1,MANNHEIM,Germany,4669,n.a.,n.a.,391,442,464,399,363,292,291,n.a.,n.a.,n.a.,"1,114","1,104","1,010",959,942,886,880,n.a.
146.,Caterpillar Motoren GmbH & Co. KG,FALCKENSTEINER STR. 2,KIEL,Germany,2811,n.a.,n.a.,445,443,488,476,587,660,747,866,n.a.,n.a.,913,985,"1,007","1,033","1,014","1,009","1,066","1,023"
644.,Caterpillar Motoren Rostock GmbH,WERFTALLEE 13,ROSTOCK,Germany,2811,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,14,n.a.,n.a.,87,86,84,99,105,100,102,99
309.,Celanese Production Germany GmbH & Co. KG,Am Unisys Park 1,Sulzbach,Germany,7010,n.a.,n.a.,n.a.,586,552,490,549,466,320,444,n.a.,n.a.,5,463,473,562,584,603,653,677
238.,CEMEX Zement GmbH,FRANKFURTER CHAUSSEE,RUEDERSDORF,Germany,2351,n.a.,n.a.,211,188,194,189,208,180,186,215,n.a.,n.a.,323,323,319,317,319,322,327,342
841.,CERAMTEC-ETEC GMBH,AN DER BURG SUELZ 17,LOHMAR,Germany,2344,n.a.,15,14,12,5,22,24,n.a.,n.a.,n.a.,115,113,108,112,161,150,170,n.a.,n.a.,n.a.
946.,Challenge Aero AG,WASERSTRASSE 69,ZURICH,Switzerland,5229,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,3,n.a.,n.a.,1,1,1,1,1,1,n.a.,n.a.,n.a.,n.a.
719.,Chamottewerke Mering Max Zettler GmbH,ZETTLERSTR. 42,MERING,Germany,2320,n.a.,n.a.,n.a.,n.a.,3,2,3,n.a.,n.a.,n.a.,n.a.,25,34,34,33,35,n.a.,n.a.,n.a.,n.a.
391.,Chemiewerk Bad Köstritz GmbH,HEINRICHSHALL 2,BAD KOESTRITZ,Germany,2013,n.a.,n.a.,64,60,53,51,55,48,38,51,n.a.,n.a.,240,238,231,235,229,214,220,228
513.,Chemitas GmbH,LANGE WANNE 8,GOSLAR,Germany,7490,n.a.,n.a.,10,9,6,3,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,116,112,102,45,n.a.,n.a.,n.a.,n.a.
361.,CIECH Energy Deutschland GmbH,ATHENSLEBENER WEG 57,STASSFURT,Germany,3511,n.a.,n.a.,81,87,99,98,137,116,144,151,n.a.,n.a.,36,36,36,39,n.a.,n.a.,n.a.,n.a.
282.,CIECH Soda Deutschland GmbH & Co. KG,AN DER LOEDERBURGER BAHN 4 A,STASSFURT,Germany,2013,n.a.,n.a.,145,140,127,128,125,115,119,165,n.a.,n.a.,287,297,318,318,319,318,315,301
820.,Claas Selbstfahrende Erntemaschinen GmbH,MUEHLENWINKEL 1,HARSEWINKEL,Germany,2830,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,"3,000","3,000","3,000","3,000","3,000","3,000",n.a.,n.a.,n.a.,n.a.
73.,Clariant Produkte (Deutschland) GmbH,BRUENINGSTR. 50,FRANKFURT,Germany,2059,n.a.,"1,374","2,120","1,993","2,197","2,191","1,895","1,563","1,210","1,559",n.a.,"2,518","3,997","3,995","4,327","3,874","3,265","3,277","3,372","3,628"
746.,Club Saab 340,LETTSTRASSE 10,VADUZ,Liechtenstein,,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
757.,Coffein Compagnie Dr. Erich Scheele GmbH & Co. KG,SEBALDSBRUECKER HEERSTR. 191 A,BREMEN,Germany,1083,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,126,126,n.a.,n.a.,n.a.,n.a.,400,400,400,270,270,271
543.,Colgan Air Services,2709 FANTA REED RD,LA CROSSE,United States of America,5223,3,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,35,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
380.,Columbian Carbon Deutschland GmbH,PODBIELSKISTR. 160,HANNOVER,Germany,3299,n.a.,n.a.,66,71,n.a.,n.a.,n.a.,n.a.,n.a.,57,n.a.,n.a.,70,68,n.a.,n.a.,n.a.,n.a.,n.a.,74
248.,COMPO Expert GmbH,KROEGERWEG 10,MUENSTER,Germany,2015,n.a.,n.a.,n.a.,165,108,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,252,235,3,1,n.a.,n.a.,n.a.
56.,Condor Flugdienst GmbH,CONDOR PLATZ,FRANKFURT,Germany,5110,n.a.,n.a.,"1,797","1,675","1,688","1,574","1,374","1,261","1,284","1,268",n.a.,n.a.,"3,125","3,066","2,750","2,373","2,197","2,059","2,000","3,593"
256.,Constantia Hueck Folien GmbH & Co. KG,PIRKMUEHLE 14 -16,PIRK,Germany,2592,n.a.,181,186,186,181,193,200,180,156,158,n.a.,664,665,699,703,708,729,699,651,674
94.,Constellium Singen GmbH,ALUSINGENPLATZ 1,SINGEN,Germany,2442,n.a.,n.a.,878,839,802,793,831,n.a.,n.a.,n.a.,n.a.,n.a.,"1,468","1,542","1,570","1,520","1,504",n.a.,n.a.,n.a.
383.,Continental Foods Production Germany GmbH,GENINER STR. 88 -100,LUEBECK,Germany,1085,n.a.,64,128,n.a.,157,156,175,179,180,235,n.a.,233,357,n.a.,410,417,421,417,447,485
778.,CONTINENTAL REIFEN DEUTSCHLAND GMBH,,,Germany,2211,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,2,2,2,2,2,2,n.a.,n.a.,n.a.,n.a.
777.,ContiTech Antriebssysteme GmbH,PHILIPSBORNSTR. 1,HANNOVER,Germany,2815,n.a.,683,642,455,419,402,393,n.a.,n.a.,n.a.,"4,200","4,161","4,710","3,006","2,744","2,562","2,640",n.a.,n.a.,n.a.
776.,ContiTech Transportbandsysteme GmbH,VAHRENWALDER STR. 9,HANNOVER,Germany,2219,n.a.,n.a.,993,531,597,616,584,n.a.,n.a.,n.a.,"6,800","6,800","6,750","3,993","3,983","3,846","3,711",n.a.,n.a.,n.a.
410.,Cordier Spezialpapier GmbH,JAEGERTAL 6,BAD DUERKHEIM,Germany,1712,n.a.,n.a.,53,53,55,57,63,62,52,64,n.a.,n.a.,230,229,231,234,233,238,265,274
28.,Covestro Deutschland AG,KAISER-WILHELM-ALLEE 1,LEVERKUSEN,Germany,2016,n.a.,"5,061",n.a.,n.a.,n.a.,"5,366","5,322",n.a.,n.a.,n.a.,n.a.,"5,748",n.a.,n.a.,n.a.,"5,172","5,297",n.a.,n.a.,n.a.
346.,CP Kelco Germany GmbH,POMOSIN-WERK 5,GROSSENBRODE,Germany,1089,n.a.,n.a.,91,73,69,61,58,62,52,55,n.a.,n.a.,143,137,128,128,123,119,124,129
758.,CR3-Kaffeeveredelung M. Hermsen GmbH,WATERBERGSTR. 14,BREMEN,Germany,1083,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,2,2,n.a.,n.a.,60,n.a.,60,60,60,2,2,2,n.a.
253.,CREATON AG,DILLINGER STRASSE 60,WERTINGEN,Germany,2332,n.a.,189,192,205,234,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,851,907,890,921,n.a.,n.a.,n.a.,n.a.,n.a.
501.,CREATON KERA-DACH GmbH & Co. KG,DILLINGER STR. 60,WERTINGEN,Germany,2332,n.a.,15,14,19,23,n.a.,n.a.,n.a.,17,19,n.a.,70,70,90,98,n.a.,n.a.,n.a.,n.a.,n.a.
287.,Crespel & Deiters GmbH & Co. KG,GRONER ALLEE 76,IBBENBUEREN,Germany,1062,n.a.,n.a.,135,129,135,124,134,104,n.a.,n.a.,n.a.,n.a.,232,224,219,211,211,n.a.,n.a.,n.a.
565.,CRH ALBERT GMBH,WELLIE 65,STEYERBERG,Germany,4673,n.a.,n.a.,0,2,1,3,6,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,18,17,17,39,45,44,n.a.
570.,CRH ALGERMISSEN GMBH,UNTER DEN EICHEN 13,PEINE,Germany,2331,n.a.,n.a.,n.a.,0,0,0,1,2,n.a.,n.a.,n.a.,n.a.,n.a.,1,1,1,n.a.,35,n.a.,51
566.,CRH STRADALIT GMBH & CO. KG,WELLIE 65,STEYERBERG,Germany,4752,n.a.,n.a.,n.a.,0,0,1,4,4,4,6,n.a.,n.a.,n.a.,n.a.,n.a.,1,29,29,33,n.a.
556.,Crinitz Baukeramik GmbH,GRENZWEG 1,CRINITZ,Germany,2331,n.a.,n.a.,1,1,1,1,2,1,n.a.,n.a.,n.a.,n.a.,22,22,26,26,31,n.a.,n.a.,22
797.,CropEnergies Bioethanol GmbH,ALBRECHTSTR. 54,ZEITZ,Germany,2014,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,250,n.a.,118,118,118,117,117,117,n.a.,n.a.,102,n.a.
74.,Currenta GmbH & Co. OHG,KAISER-WILHELM-ALLEE 80,LEVERKUSEN,Germany,8299,n.a.,n.a.,"1,270","1,357","1,405","1,420","1,356",n.a.,n.a.,n.a.,n.a.,n.a.,"3,494","3,413","3,471","3,392","3,254",n.a.,n.a.,n.a.
382.,CUSTODIA HOLDING AG,PROMENADEPLATZ 12,MUNCHEN,Germany,6831,n.a.,70,11,4,7,4,4,4,6,5,n.a.,1,n.a.,n.a.,1,n.a.,n.a.,n.a.,n.a.,n.a.
649.,D.A.P. KLINKERWERKE GMBH,GROENAER LANDSTR. 2,BERNBURG,Germany,2331,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,25
654.,Dachkeramik Meyer-Holsen GmbH,TONSTR. 78,HUELLHORST,Germany,2332,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,26,22,n.a.,n.a.,n.a.,n.a.,189,181,181,184,173,168,162,160
514.,Dachziegelwerke Idunahall GmbH,ALTE POSTSTR. 80-88,SCHERMBECK,Germany,2332,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
309.,Dachziegelwerke Nelskamp GmbH,WALDWEG 6,SCHERMBECK,Germany,2332,n.a.,n.a.,114,119,116,117,121,108,95,98,n.a.,n.a.,583,587,592,584,576,557,554,304
1.,Daimler AG,MERCEDESSTRASS 137,STUTTGART,Germany,2910,n.a.,"155,587","151,339","131,568","119,465","115,682","107,806","98,584","79,573","96,603",n.a.,"282,488","284,015","279,972","274,616","275,087","271,370","260,100","256,407","273,216"
